Amount,Use_Chip,Merchant_City,Gender,City,State,Per_Capita_Income_Zipcode,Yearly_Income_Person,Total_Debt,FICO_Score,Num_Credit_Cards,Card_Type,Credit_Limit,Fraud,Date,Age_Group
288.74,Swipe,Springwater,Male,Rush,NY,26072,54013,3628,779,8,Credit,12400,Yes,2008-08-28,66+
44.02,Online,ONLINE,Male,Bradenton,FL,29583,44690,2249,733,5,Credit,12400,Yes,2009-09-20,66+
7.32,Online,ONLINE,Female,Manassas,VA,24016,50753,20226,698,4,Debit,21968,Yes,2016-03-08,66+
22.51,Chip,Aliquippa,Male,Camilla,GA,13759,28055,12475,829,3,Debit,46414,No,2018-06-09,36-50
6.25,Online,ONLINE,Male,Summerville,GA,14514,29594,47766,792,1,Debit,24295,Yes,2016-05-29,26-35
204,Chip,Okoboji,Female,Sioux Falls,SD,21089,31145,5132,689,4,Debit,24295,No,2020-02-25,66+
115.2,Online,ONLINE,Female,Switz City,IN,15285,31170,33165,685,5,Credit,12400,Yes,2008-03-24,36-50
10.08,Swipe,Mansfield,Male,San Antonio,TX,12547,25585,59827,702,4,Debit,21968,No,2012-08-13,36-50
118.14,Swipe,Lawrence,Male,Lawrence,KS,27149,55351,152645,703,6,Debit,620,No,2008-09-29,36-50
67.68,Chip,Syracuse,Female,Camillus,NY,24172,48750,18724,709,8,Credit,12400,No,2017-02-18,66+
0.07,Chip,Rome,Female,Bismarck,ND,23679,48277,110153,740,4,Debit,46414,Yes,2019-01-29,26-35
17.04,Chip,Bradenton,Male,Bradenton,FL,13972,28489,6087,808,4,Credit,12400,Yes,2016-11-03,36-50
24.14,Swipe,Allentown,Female,Allentown,PA,12427,19893,1712,566,3,Debit,24295,No,2013-09-27,66+
7.01,Swipe,Algiers,Female,Bellaire,TX,79100,161276,317964,540,1,Debit,24295,Yes,2006-05-03,36-50
37.96,Swipe,Chandler,Male,Tyler,TX,14811,30198,40950,693,6,Debit,620,No,2006-02-04,51-65
-98,Swipe,Washington,Female,West Baden Springs,IN,15138,30867,12686,794,3,Debit,21968,No,2018-03-22,51-65
5.05,Chip,Rome,Male,Auburn,AL,20782,42379,64124,550,1,Debit,24295,Yes,2018-07-27,36-50
14.76,Swipe,Canton,Male,Rincon,GA,23029,46954,69753,578,4,Credit,12400,No,2007-07-24,51-65
29.59,Online,ONLINE,Female,Santa Barbara,CA,33097,35404,30887,575,3,Debit,24295,No,2011-11-21,51-65
3.67,Swipe,Dover,Male,Dover,OH,18794,31003,23000,699,3,Debit,21968,No,2003-03-15,51-65
-83,Swipe,Columbia,Female,Columbia,SC,23917,48762,143208,771,6,Debit,24295,No,2017-12-01,36-50
71.05,Online,ONLINE,Female,Reno,NV,38345,78180,102759,740,3,Debit,21968,Yes,2012-05-31,36-50
28.29,Swipe,Indianapolis,Male,Indianapolis,IN,31114,63433,122550,770,7,Debit,33375,No,2018-07-25,51-65
2.51,Chip,Clarksville,Male,Dallas,TX,13799,28137,88482,797,6,Debit,620,No,2017-09-16,51-65
0.64,Swipe,Brighton,Female,Millington,TN,19115,19225,1644,809,8,Debit,620,Yes,2008-04-27,66+
365,Online,ONLINE,Female,Reisterstown,MD,33175,67643,0,714,6,Debit,620,Yes,2016-04-17,36-50
0.99,Online,ONLINE,Female,Los Angeles,CA,12557,25603,26348,729,2,Debit,21968,Yes,2010-10-14,26-35
118.29,Swipe,Lyndon Center,Male,Lyndonville,VT,16976,34606,23909,680,5,Debit,46414,Yes,2009-01-23,36-50
184.25,Online,ONLINE,Male,Albuquerque,NM,15385,31373,58481,637,2,Debit,21968,Yes,2015-06-08,36-50
21.54,Chip,Trinity,Male,Somerville,AL,18533,37785,81500,745,3,Debit,24295,No,2015-10-16,51-65
17.99,Swipe,Louisville,Male,Rainsville,AL,15562,11029,3225,786,3,Debit,21968,No,2010-10-28,66+
18.16,Swipe,East Hartford,Female,East Hartford,CT,20065,22726,1692,784,6,Debit,21968,No,2009-12-26,66+
256.62,Online,ONLINE,Male,Rancho Cordova,CA,35137,71645,155006,629,3,Debit,24295,Yes,2008-05-19,51-65
193.62,Swipe,Kings Mountain,Female,Stanford,KY,15202,30997,81716,722,2,Debit,24295,Yes,2008-02-02,36-50
38.82,Chip,Prichard,Female,Prichard,WV,17918,36528,109785,701,3,Debit,21968,No,2017-06-04,51-65
8.33,Chip,Rome,Male,Van Alstyne,TX,24402,49756,89743,618,4,Credit,12400,Yes,2018-02-22,51-65
74,Swipe,Hawthorne,Female,O Fallon,MO,25350,17056,29112,667,5,Debit,21968,No,1995-05-14,51-65
44.68,Chip,Rome,Female,Brewster,MA,19591,39947,57346,765,2,Debit,21968,Yes,2018-01-05,36-50
211.59,Online,ONLINE,Male,Syracuse,NY,20294,41379,95988,681,2,Debit,24295,Yes,2013-11-09,51-65
2.2,Online,ONLINE,Male,Clifton Springs,NY,19095,20614,14042,711,2,Debit,21968,Yes,2013-08-27,51-65
8.81,Online,ONLINE,Female,Parma,MO,11636,23725,47647,710,5,Debit,24295,Yes,2010-08-10,51-65
2.19,Swipe,Richmond,Female,Richmond,CA,21869,44583,85531,717,5,Credit,12400,No,2012-07-17,51-65
73.86,Chip,Rome,Female,Beaverton,OR,21702,44249,103229,706,5,Debit,46414,Yes,2018-09-03,36-50
48.32,Chip,Belleville,Male,Belleville,IL,24509,49967,58582,712,4,Debit,46414,No,2016-04-11,36-50
62.64,Swipe,Gold Hill,Female,Medford,OR,18961,30359,16552,758,2,Debit,24295,No,2010-05-03,51-65
3.4,Swipe,Dawsonville,Female,Dawsonville,GA,20581,41963,53857,741,1,Debit,24295,No,2012-08-24,51-65
37.26,Online,ONLINE,Female,Rockford,IL,18906,38554,47186,708,1,Debit,24295,Yes,2002-11-13,36-50
30.66,Swipe,Sea Isle City,Male,Woodbine,NJ,22697,46278,51243,791,4,Credit,12400,Yes,2016-01-07,36-50
31.83,Online,ONLINE,Female,North Richland Hills,TX,26016,39003,10793,788,5,Credit,12400,Yes,2009-05-29,66+
52.81,Swipe,Peckville,Male,Peckville,PA,18432,37579,0,742,5,Debit,24295,No,2014-11-09,51-65
12.65,Online,ONLINE,Female,Islandton,SC,14864,30305,23392,776,3,Debit,21968,Yes,2015-04-05,51-65
109.47,Chip,East Dennis,Female,Brewster,MA,19591,39947,57346,765,2,Debit,24295,Yes,2016-10-20,36-50
4.96,Swipe,Huntsville,Male,Houston,TX,31072,63356,140107,704,5,Debit,46414,No,2009-09-14,26-35
33.84,Swipe,Chicago Heights,Male,Chicago Heights,IL,16503,38761,69,760,7,Credit,12400,No,2008-10-26,66+
7.79,Swipe,New London,Male,Henderson,TX,17898,36497,38333,719,6,Debit,24295,Yes,2008-08-11,51-65
77.59,Swipe,Strasburg,Male,High Point,NC,24005,48944,79960,813,7,Debit,33375,Yes,2013-11-30,51-65
200,Chip,Port Allen,Female,Gonzales,LA,24703,16620,1140,804,8,Debit,620,No,2017-09-01,66+
53.24,Swipe,Farmington,Female,Farmington,MN,28429,41513,15899,748,3,Debit,24295,No,2005-10-19,66+
206.27,Swipe,Wethersfield,Female,East Hartford,CT,20065,22726,1692,784,6,Credit,12400,Yes,2008-12-05,66+
102.8,Online,ONLINE,Female,Round Rock,TX,30358,61901,29627,726,7,Debit,21968,Yes,2015-10-06,51-65
76.26,Swipe,Lancaster,Male,Dallas,TX,13799,28137,88482,797,6,Credit,12400,Yes,2008-03-02,51-65
18.92,Swipe,Douglas,Male,Tucson,AZ,17460,24960,889,707,9,Credit,12400,Yes,2008-02-01,66+
93.43,Swipe,Atlanta,Female,Atlanta,GA,45818,93417,115916,714,3,Debit,24295,No,2010-06-11,36-50
18.4,Swipe,Baltimore,Female,Union City,NJ,16770,34190,39242,810,7,Debit,46414,Yes,2008-08-07,51-65
89.04,Online,ONLINE,Female,Trenton,GA,15950,32520,29433,731,4,Debit,24295,Yes,2010-10-29,51-65
-68,Swipe,Paragould,Male,Paragould,AR,15447,31499,45661,782,4,Debit,24295,No,2001-01-03,36-50
278.28,Swipe,New Paltz,Female,Schenectady,NY,30839,49569,58019,682,2,Debit,21968,No,2009-08-12,51-65
84.82,Chip,Urbandale,Female,Urbandale,IA,26764,33642,20874,593,5,Credit,12400,No,2016-01-04,66+
152.46,Online,ONLINE,Female,San Jose,CA,51631,52929,37514,737,7,Debit,21968,Yes,2008-10-09,66+
35.14,Chip,Oklahoma City,Male,Purcell,OK,18137,36983,58895,768,4,Credit,12400,No,2017-09-18,26-35
187,Swipe,Statesville,Female,Claremont,NC,18029,36760,95755,593,2,Debit,24295,Yes,2008-09-21,51-65
20.79,Swipe,Wilmington,Male,Mokena,IL,32083,77961,39811,616,3,Debit,21968,No,2010-04-16,51-65
-68,Swipe,Garland,Male,Garland,TX,18408,37536,63386,717,3,Debit,21968,No,2010-09-07,51-65
2.84,Swipe,Clarksville,Male,Dallas,TX,13799,28137,88482,797,6,Debit,24295,No,2012-09-18,51-65
215.73,Online,ONLINE,Female,North Lawrence,OH,21201,43229,96831,685,2,Debit,24295,Yes,2010-08-02,36-50
55.33,Swipe,Dayton,Male,Cowansville,PA,17870,36440,30574,745,2,Debit,21968,No,2016-08-10,36-50
41.1,Online,ONLINE,Female,Los Angeles,CA,11073,22583,62461,683,4,Debit,24295,Yes,2012-05-23,36-50
33.4,Swipe,Harrison,Male,Paragould,AR,15447,31499,45661,782,4,Debit,24295,No,2008-05-25,36-50
27.15,Online,ONLINE,Male,Naples,FL,17455,35590,92603,720,4,Debit,24295,No,2013-12-02,51-65
196.76,Chip,Rome,Male,Dallas,TX,12693,25883,44404,706,4,Debit,46414,Yes,2019-04-16,51-65
27.01,Online,ONLINE,Female,Katy,TX,26422,53878,78143,779,4,Credit,12400,Yes,2010-01-18,51-65
148.95,Online,ONLINE,Female,Albany,NY,15490,31582,23359,693,4,Debit,46414,Yes,2004-10-13,51-65
17.24,Swipe,Edmond,Male,Edmond,OK,33736,68784,198417,696,4,Credit,12400,No,2010-12-21,26-35
220.79,Online,ONLINE,Male,Vienna,VA,60593,123540,236393,764,4,Credit,12400,Yes,2007-08-22,36-50
20,Chip,Fort Lauderdale,Male,Fort Lauderdale,FL,21661,44170,90049,661,7,Debit,24295,No,2018-11-07,51-65
108.96,Online,ONLINE,Female,Gresham,OR,22599,46075,139335,741,3,Debit,46414,Yes,2003-04-24,51-65
63.97,Swipe,Johnson City,Female,Candor,NY,18323,40516,6908,698,5,Credit,12400,No,2006-04-20,66+
30.05,Swipe,Hanover,Female,Severn,MD,31075,63355,0,708,5,Debit,24295,Yes,2007-07-12,36-50
47.66,Chip,Miami,Male,Miami,FL,53676,109440,180865,737,5,Debit,24295,No,2017-02-21,51-65
15.97,Swipe,Orlando,Female,Old Saybrook,CT,30281,61740,126015,583,2,Debit,21968,No,2009-05-03,51-65
67.21,Chip,Rockwall,Male,Rockwall,TX,34659,70673,87605,714,4,Debit,21968,No,2017-11-09,51-65
110.04,Online,ONLINE,Male,Belleville,IL,24509,49967,58582,712,4,Debit,46414,Yes,2008-03-07,36-50
25.56,Online,ONLINE,Female,Rockford,IL,18906,38554,47186,708,1,Debit,24295,Yes,2010-12-20,36-50
7.78,Swipe,Algiers,Female,Detroit,MI,9710,19800,40038,682,3,Debit,24295,Yes,2006-07-11,36-50
64,Chip,Rome,Female,Daly City,CA,23752,48430,62384,716,2,Debit,24295,Yes,2017-12-10,36-50
40.84,Online,ONLINE,Male,Fremont,CA,33727,68765,75608,798,5,Debit,24295,No,2015-01-04,66+
15.98,Swipe,Thomson,Male,Thomson,GA,15755,32125,58712,733,2,Debit,24295,No,2012-10-11,26-35
82,Swipe,Berkeley Heights,Male,Berkeley Heights,NJ,53790,109673,242379,505,1,Debit,24295,No,2003-07-11,51-65
57.99,Swipe,Union City,Male,Union City,CA,29097,59322,145137,694,3,Debit,24295,No,2007-05-10,51-65
541.48,Chip,Denver,Female,Waynesville,OH,25333,51651,22705,801,3,Debit,21968,No,2017-10-18,26-35
54.57,Online,ONLINE,Female,Bloomington,IN,19125,38999,64875,747,4,Debit,46414,Yes,2015-12-12,66+
75.46,Chip,York,Male,York,NE,18024,36753,33657,684,4,Debit,21968,No,2015-06-04,36-50
9,Swipe,Hattiesburg,Female,Hattiesburg,MS,14383,9678,812,688,6,Debit,620,No,2008-11-02,66+
52.51,Chip,Beaver Dam,Male,Portage,WI,19635,40035,69241,684,2,Debit,21968,No,2019-01-14,26-35
80,Swipe,Muskego,Male,Kenosha,WI,23060,47023,0,765,2,Debit,24295,No,2014-10-30,26-35
-475,Online,ONLINE,Female,Barnstable,MA,26762,41902,29713,633,5,Debit,46414,Yes,2008-07-06,66+
95.6,Online,ONLINE,Female,Atlanta,GA,25586,52172,66085,667,4,Debit,46414,Yes,2003-03-14,36-50
26.49,Online,ONLINE,Male,Los Angeles,CA,13002,26510,53023,696,4,Debit,24295,No,2016-10-06,51-65
44.17,Online,ONLINE,Female,Torrance,CA,31496,68010,0,704,7,Debit,620,Yes,2004-03-29,66+
57.58,Swipe,Istanbul,Male,Garner,NC,22685,46256,106753,650,3,Debit,21968,Yes,2004-08-16,51-65
58.26,Swipe,Gregory,Male,Gregory,TX,15758,32126,54351,745,2,Debit,21968,No,2007-07-08,26-35
24.43,Swipe,Algiers,Male,Wichita,KS,22638,46160,87459,763,4,Debit,24295,Yes,2006-06-06,36-50
37.09,Online,ONLINE,Female,Charlotte,NC,17817,36324,56689,705,4,Debit,46414,Yes,2016-08-07,26-35
181.42,Online,ONLINE,Female,Providence,RI,30403,61991,2151,758,4,Credit,12400,Yes,2010-05-03,51-65
102.72,Swipe,Algiers,Male,Medford,OR,18961,38661,88636,765,3,Debit,24295,Yes,2006-02-10,36-50
66.67,Swipe,Washington Crossing,Male,Ellicott City,MD,39053,57513,11755,793,5,Debit,46414,No,2009-08-07,66+
5.4,Chip,Saint Paul,Female,Saint Paul,MN,38514,60652,0,688,4,Credit,12400,No,2019-11-16,66+
90.78,Online,ONLINE,Male,Newark,NJ,17370,35418,51741,660,6,Debit,46414,Yes,2014-01-13,36-50
18.14,Online,ONLINE,Female,Albany,NY,15490,31582,23359,693,4,Credit,12400,Yes,2007-06-16,51-65
19.35,Swipe,Istanbul,Female,Franklin,TN,36563,70554,39078,655,5,Debit,46414,Yes,2004-11-03,66+
80.84,Online,ONLINE,Male,Indianapolis,IN,14691,29957,60321,624,5,Debit,46414,Yes,2008-10-30,51-65
55.21,Swipe,Orrville,Female,North Lawrence,OH,21201,43229,96831,685,2,Debit,21968,No,2014-05-24,36-50
8.73,Chip,Rome,Male,Amarillo,TX,18613,37947,49951,683,3,Debit,21968,Yes,2019-10-10,26-35
111.38,Swipe,League City,Female,League City,TX,35246,71866,132580,662,1,Debit,24295,No,2011-05-20,36-50
70,Swipe,Burley,Female,Burley,ID,14094,28738,48786,600,1,Debit,24295,No,2013-03-16,36-50
30.1,Online,ONLINE,Female,Summerville,SC,21769,44383,42369,707,7,Debit,21968,Yes,2008-07-07,36-50
1.11,Chip,Rome,Female,Dearborn,MI,24561,48690,36262,701,6,Debit,620,Yes,2019-10-17,66+
43.58,Swipe,Philadelphia,Male,Philadelphia,PA,17603,35891,87749,577,3,Debit,46414,No,2009-05-18,36-50
44.08,Swipe,Cowansville,Male,Cowansville,PA,17870,36440,30574,745,2,Debit,21968,No,2019-01-19,36-50
13.02,Online,ONLINE,Male,Saint Thomas,PA,17405,35489,91995,724,5,Credit,12400,No,2013-02-05,36-50
12.16,Swipe,San Jose,Male,San Jose,CA,25115,31287,25844,728,4,Debit,24295,No,2012-04-10,66+
14.67,Swipe,Bothell,Female,Bothell,WA,33226,67743,67132,752,3,Debit,21968,No,2009-03-16,36-50
107.39,Swipe,Abuja,Female,North Myrtle Beach,SC,13409,23137,4871,642,5,Debit,24295,Yes,2001-03-30,66+
58.11,Swipe,Port au Prince,Male,Chattanooga,TN,18658,38041,27813,782,4,Credit,12400,Yes,2010-09-21,36-50
25.45,Chip,Rome,Female,New York,NY,0,1,0,673,3,Debit,24295,Yes,2018-08-31,66+
11.96,Swipe,Newark,Female,Newark,DE,31719,64672,56485,695,4,Debit,21968,No,2012-10-23,36-50
47.86,Online,ONLINE,Male,Seabrook,NH,22448,45767,41791,721,4,Debit,24295,No,2015-06-11,51-65
8.46,Online,ONLINE,Female,San Jose,CA,51631,52929,37514,737,7,Debit,46414,Yes,2008-11-20,66+
87.33,Online,ONLINE,Male,Olympia,WA,24044,49023,66148,583,5,Debit,21968,No,2012-05-03,36-50
159.94,Swipe,Sacramento,Female,Somerset,CA,19471,39700,59062,701,3,Debit,24295,No,2015-12-16,36-50
5.82,Online,ONLINE,Female,Venus,TX,19477,23371,0,757,8,Debit,24295,Yes,2010-07-01,66+
48,Online,ONLINE,Female,Manassas,VA,24016,50753,20226,698,4,Debit,24295,Yes,2010-10-18,66+
35.61,Swipe,Irvington,Male,Florham Park,NJ,47698,97248,197100,775,5,Debit,21968,Yes,2016-08-02,26-35
3.38,Chip,Rome,Male,Cape Coral,FL,19274,39303,23650,702,7,Credit,12400,Yes,2019-04-18,36-50
372,Chip,Muncy,Male,Avis,PA,15708,32024,69171,754,1,Debit,24295,No,2017-07-01,26-35
235.17,Swipe,Berkeley,Female,Sodus,NY,16703,34057,59247,655,4,Debit,24295,Yes,2001-06-12,36-50
73.76,Swipe,Mission,Male,Mission,TX,14275,22104,20031,670,3,Debit,21968,No,2005-02-06,66+
26.52,Swipe,Fort Lauderdale,Female,Fort Lauderdale,FL,21084,42593,16083,703,2,Debit,21968,No,2009-01-01,66+
43.25,Online,ONLINE,Male,Orlando,FL,20121,42806,20432,726,6,Credit,12400,No,2015-07-22,66+
81.59,Online,ONLINE,Male,Philadelphia,PA,18007,36715,74022,547,4,Debit,46414,Yes,2008-12-25,36-50
1.3,Online,ONLINE,Female,Trenton,NJ,22747,46377,79980,719,3,Debit,24295,Yes,2008-11-13,36-50
659.02,Online,ONLINE,Male,Somerville,AL,18533,37785,81500,745,3,Debit,24295,Yes,2010-11-01,51-65
-95,Swipe,Murrieta,Female,Murrieta,CA,24069,49076,56547,715,4,Debit,46414,No,2012-08-14,36-50
-461,Online,ONLINE,Male,Alhambra,CA,20059,40900,64420,678,3,Debit,24295,Yes,2015-12-07,51-65
106.69,Online,ONLINE,Male,Claypool,IN,17969,27939,11243,841,5,Debit,24295,Yes,2010-05-11,66+
9.2,Chip,Rome,Male,Oakland,CA,52813,107683,225017,694,3,Debit,24295,Yes,2019-08-10,26-35
91.97,Online,ONLINE,Male,Butler,OH,17161,34985,29409,723,6,Debit,46414,No,2017-06-17,66+
29.27,Swipe,Louisville,Female,Louisville,OH,18936,38611,93255,755,5,Debit,21968,No,2019-05-17,36-50
17.54,Chip,Fishers,Male,Fishers,IN,31270,63760,151177,716,1,Debit,24295,No,2017-12-12,26-35
109.29,Swipe,Quakertown,Female,Quakertown,PA,25205,51391,94145,656,1,Debit,24295,No,2014-01-28,36-50
42.93,Chip,North Hollywood,Female,North Hollywood,CA,16892,34441,907,725,4,Debit,24295,No,2018-05-06,36-50
113.29,Chip,Woodmere,Female,Woodmere,NY,45685,110570,5700,766,8,Debit,46414,No,2016-08-29,66+
122.83,Chip,Rome,Female,El Paso,TX,14322,29206,25966,716,6,Credit,12400,Yes,2017-11-30,51-65
90.17,Swipe,Buckatunna,Male,Jackson,MS,11061,22557,63019,699,5,Debit,21968,No,2005-12-01,51-65
7.79,Chip,Rome,Female,Ashland,KY,18916,38568,66300,756,4,Debit,24295,Yes,2018-02-02,36-50
91.91,Swipe,Florien,Female,Florien,LA,18709,38142,0,768,4,Debit,24295,No,2014-03-22,36-50
5.6,Chip,Rome,Female,Pleasant Grove,UT,21232,43294,104521,816,7,Debit,620,Yes,2018-09-24,36-50
64.33,Swipe,Rockwall,Male,Rockwall,TX,34659,70673,87605,714,4,Debit,46414,No,2003-04-22,51-65
25,Swipe,Midway,Female,Pleasant Grove,UT,21232,43294,104521,816,7,Debit,33375,Yes,2009-02-06,36-50
40.64,Online,ONLINE,Female,Allenton,MI,20942,42701,53696,701,4,Debit,46414,Yes,2010-10-08,51-65
39.85,Online,ONLINE,Male,Gonzales,TX,15092,10869,1820,820,2,Debit,24295,No,2008-09-26,66+
81.32,Online,ONLINE,Female,Rio Rico,AZ,15462,29494,1196,689,5,Debit,24295,Yes,2012-04-04,66+
7.89,Swipe,Jarreau,Female,Gonzales,LA,24703,16620,1140,804,8,Debit,33375,No,2017-09-07,66+
50.8,Swipe,Fremont,Male,Canton,GA,25654,52308,135319,679,1,Debit,24295,No,2012-05-13,36-50
17.74,Swipe,Monroe,Female,Monroe,MI,19736,40246,74352,641,5,Debit,24295,No,2014-08-04,36-50
16.17,Chip,Andover,Male,Andover,KS,32162,65573,143069,739,4,Credit,12400,No,2016-11-09,66+
47.35,Chip,Rome,Female,Minneapolis,MN,23278,47464,83591,716,1,Debit,24295,Yes,2018-02-14,36-50
124,Swipe,Algiers,Female,Saint Cloud,FL,22086,45037,31792,710,3,Debit,24295,Yes,2006-04-18,51-65
1.72,Chip,San Antonio,Male,San Antonio,TX,12677,25850,56285,630,1,Debit,24295,No,2018-08-17,36-50
22.71,Swipe,Drakesboro,Male,Greenville,KY,16847,34350,61639,705,3,Debit,24295,Yes,2007-03-18,51-65
238.73,Online,ONLINE,Female,Hollywood,FL,19712,40194,107765,738,6,Debit,21968,Yes,2016-08-21,51-65
16.57,Chip,Olympia,Male,Olympia,WA,24044,49023,66148,583,5,Debit,46414,No,2018-04-28,36-50
64.39,Swipe,Algiers,Female,Fontana,CA,23172,47242,62224,704,6,Debit,46414,Yes,2006-06-13,51-65
60,Swipe,Elyria,Female,Elyria,OH,18110,36925,89762,721,5,Debit,24295,No,2013-08-16,51-65
72.64,Swipe,Leitchfield,Male,Leitchfield,KY,14038,9445,14856,641,2,Debit,21968,No,2011-03-12,51-65
66.87,Chip,Venus,Female,Venus,TX,19477,23371,0,757,8,Debit,46414,No,2018-07-27,66+
66.47,Swipe,Bernalillo,Male,Bernalillo,NM,15966,29769,14542,693,3,Debit,24295,No,2002-12-14,51-65
0.47,Online,ONLINE,Female,Albany,NY,15490,31582,23359,693,4,Credit,12400,Yes,2016-03-20,51-65
36.48,Swipe,Revere,Female,Revere,MA,20979,17078,25245,719,4,Debit,46414,No,2013-05-05,51-65
26.29,Online,ONLINE,Male,Chattanooga,TN,18658,38041,27813,782,4,Credit,12400,No,2007-10-12,36-50
1.53,Chip,Alpharetta,Female,Alpharetta,GA,45132,92017,157723,703,3,Debit,21968,No,2019-06-01,36-50
31.11,Swipe,Campbell,Male,Fayetteville,NC,18316,37346,64030,680,5,Debit,24295,Yes,2001-05-06,51-65
1.59,Swipe,Indianapolis,Male,Indianapolis,IN,32865,67008,81402,778,8,Credit,12400,No,2010-11-25,36-50
0.48,Swipe,Ronda,Male,Lansing,NC,12630,25748,41455,738,3,Debit,46414,No,2011-07-06,36-50
67.98,Swipe,Thackerville,Male,Chicago Heights,IL,16503,38761,69,760,7,Credit,12400,No,2007-05-28,66+
29.3,Swipe,Muskegon,Male,Muskegon,MI,19131,30977,21507,796,5,Debit,21968,No,2012-01-27,66+
70.93,Online,ONLINE,Male,Fayetteville,NC,18316,37346,64030,680,5,Debit,21968,Yes,2016-07-26,51-65
55.06,Online,ONLINE,Male,Hinsdale,IL,92938,189490,448929,717,3,Debit,21968,No,2006-10-13,51-65
38.19,Online,ONLINE,Female,Richmond,CA,21869,44583,85531,717,5,Debit,46414,Yes,2016-08-15,51-65
65.94,Online,ONLINE,Female,Medford,NY,27376,64829,15537,664,3,Debit,21968,Yes,2016-08-07,51-65
50.69,Swipe,Crown Point,Female,Crown Point,IN,26168,53350,128676,685,5,Debit,24295,No,2018-12-07,51-65
323,Online,ONLINE,Male,Gaithersburg,MD,30179,61532,26832,683,4,Debit,46414,Yes,2009-01-21,51-65
82.24,Swipe,Strasburg,Male,Mobile,AL,25381,48060,17440,581,3,Debit,46414,Yes,2014-02-09,66+
65.37,Online,ONLINE,Male,Huntingdon Valley,PA,34043,69412,64273,699,2,Debit,21968,No,2013-03-25,26-35
41.91,Chip,San Fernando,Male,San Fernando,CA,15583,31772,17286,734,4,Credit,12400,No,2019-01-21,36-50
3.34,Swipe,Asheville,Male,Hendersonville,NC,13634,23993,2573,714,5,Debit,46414,No,2012-09-05,66+
53.8,Swipe,Ridgewood,Male,Ridgewood,NJ,75378,153691,197377,604,2,Debit,21968,No,1998-11-16,51-65
148.15,Swipe,Algiers,Male,Franconia,NH,21159,43144,54157,628,3,Debit,21968,Yes,2006-01-18,36-50
44.54,Online,ONLINE,Male,Oceanside,CA,16894,34449,36540,686,3,Debit,24295,Yes,2013-10-25,36-50
5.17,Swipe,Strasburg,Female,Prichard,WV,17918,36528,109785,701,3,Debit,21968,Yes,2013-10-12,51-65
